"","VertexName","Language","LangGroup","Coloniser","Colonised","ln_GDP","Transformed_Area"
"1","AFG","Persian","Other","0","0",25.724105628566,4.42633378154487
"2","AGO","Portuguese","Portuguese","0","1",25.1102419805875,4.75671229544695
"3","ALB","Albanian","Other","0","1",24.0256639282754,3.1289660319021
"4","AND","Catalan","Other","0","0",22.1194720109067,1.97297699980298
"5","ARE","Arabic","Arabic","0","1",27.0094107160924,3.52326004249697
"6","ARG","Spanish","Spanish","0","1",27.1741574855814,5.19728891392556
"7","ARM","Armenian","Other","0","1",23.9731202692336,3.14148608554044
"8","ATG","English","English","0","1",21.5229395198042,1.96759544143162
"9","AUS","English","English","1","1",28.191889437619,5.82214669462974
"10","AUT","German","German","1","0",26.9802482608891,3.52419962008943
"11","AZE","Azeri","Other","0","1",25.0315905256241,3.5368211512203
"12","BDI","French","French","0","1",21.4944747301566,3.11775321599935
"13","BEL","Dutch","Dutch","1","0",27.2223972965709,3.17850951648514
"14","BEN","French","French","0","1",23.7905111772386,3.64159354543058
"15","BFA","French","French","0","1",23.8695802123581,4.02003391216266
"16","BGD","Bengali","Other","0","1",26.8327787725514,3.74240442349563
"17","BGR","Bulgarian","Other","0","1",25.4436553546982,3.6357066423636
"18","BHR","Arabic","Arabic","0","1",24.5889663756147,2.06338883904987
"19","BHS","English","English","0","1",23.485349574541,2.88715552995958
"20","BIH","Serbo-Croatian","Other","0","1",24.0676598312735,3.33643992663693
"21","BLR","Belarussian","Other","0","1",25.0534972811976,3.89764137253549
"22","BLZ","English","English","0","1",21.9805281905562,3.05181874476906
"23","BOL","Spanish","Spanish","0","1",24.6286326740311,4.69033178383521
"24","BRA","Portuguese","Portuguese","0","1",28.410076268664,5.88847803287916
"25","BRB","English","English","0","1",22.6924738982265,1.96209348930703
"26","BRN","Malay","Other","0","1",23.4617246012899,2.61737885874939
"27","BTN","Burmese","Other","0","0",25.5075719269381,3.3016440647256
"28","BWA","English","English","0","1",23.6885788446123,4.38577870367436
"29","CAF","French","French","0","1",21.7354282347363,4.40383223306654
"30","CAN","English","English","0","1",28.4380563034577,5.99325144918154
"31","CHE","German","German","0","0",27.5654839075206,3.25738668066798
"32","CHL","Spanish","Spanish","0","1",26.5231676711194,4.50017465517711
"33","CHN","Chinese","Other","1","0",30.5618843161627,5.9658024906046
"34","CIV","French","French","0","1",25.1838542439047,4.09310910371699
"35","CMR","French","French","0","1",24.6614781818197,4.273548292744
"36","COD","French","French","0","0",24.9824092660378,3.15056715887149
"37","COG","French","French","0","1",23.4781987191377,4.11994852128409
"38","COL","Spanish","Spanish","0","1",26.7600431828102,4.71046045488492
"39","COM","Arabic","Arabic","0","1",21.1590431335423,2.30850635893946
"40","CPV","Portuguese","Portuguese","0","1",21.7412460005696,2.51550600264146
"41","CRI","Spanish","Spanish","0","1",25.2808246071231,3.33530234414056
"42","CUB","Spanish","Spanish","0","1",24.5287240548738,3.63522232519593
"43","CYP","Greek","Other","0","1",24.3159928707322,2.7585930087472
"44","CZE","Czech","Other","0","1",26.5669165555016,3.50023855743002
"45","DEU","German","German","1","0",29.1700214001938,4.14006390380466
"46","DJI","French","French","0","1",22.1309308891479,3.05530253602899
"47","DMA","English","English","0","1",20.3505797989153,2.08696683989924
"48","DNK","Danish","Other","1","0",26.7857883233214,3.27291857444344
"49","DOM","Spanish","Spanish","0","1",25.5458209904951,3.31795299220391
"50","DZA","Arabic","Arabic","0","1",26.2977737297248,5.1114467054465
"51","ECU","Spanish","Spanish","0","1",25.5489848083535,4.02249742133849
"52","EGY","Arabic","Arabic","1","1",26.6869991815687,4.6423356485951
"53","ERI","English","English","0","1",24.5263444153319,3.67181995686118
"54","ESP","Spanish","Spanish","1","0",28.1749406327362,4.30318596549667
"55","EST","Estonian","Other","0","1",24.4789841917011,3.29053428440526
"56","ETH","Amharic","Other","0","0",25.987292620718,4.70371963942852
"57","FIN","Swedish","Other","0","1",26.4265002466117,4.11265980548833
"58","FJI","English","English","0","1",22.4880932169259,2.97640904320797
"59","FRA","French","French","1","0",28.7822508618338,4.3406667134244
"60","FSM","English","English","0","1",19.9712707916154,2.07301362767357
"61","GAB","French","French","0","1",23.7614369541277,4.00927727498889
"62","GBR","English","English","1","0",28.9240575917616,3.96844731472878
"63","GEO","Georgian","Other","0","1",24.2430205100241,3.45252613937419
"64","GHA","English","English","0","1",25.1399992730704,3.95827895257809
"65","GIN","French","French","0","1",23.9554253567222,3.97159294798253
"66","GMB","English","English","0","1",21.6425600372297,2.82046485714027
"67","GNB","Portuguese","Portuguese","0","1",21.4746186855407,3.20939443396617
"68","GNQ","Spanish","Spanish","0","1",23.2700338083899,3.12044464712433
"69","GRC","Greek","Other","1","1",26.272905231253,3.7052192316975
"70","GRD","English","English","0","1",21.0536021390168,1.91416732914164
"71","GTM","Spanish","Spanish","0","1",25.4524183455045,3.62798004744244
"72","GUY","English","English","0","1",23.9355560170176,3.91278899648413
"73","HKG","English","English","0","1",26.7323412446275,2.17560622686736
"74","HND","Spanish","Spanish","0","1",24.3367093644049,3.63967096745168
"75","HRV","Serbo-Croatian","Other","0","1",25.2507574263902,3.37316687495248
"76","HTI","French","French","1","0",23.9510679037467,3.116706361992
"77","HUN","Hungarian","Other","1","0",26.1300102671187,3.56508806220312
"78","IDN","Indonesian","Other","1","1",27.9648470672168,4.9944380357725
"79","IND","English","English","0","1",28.995245253687,5.29782388202572
"80","IRL","English","English","0","1",27.0817828757617,3.4557339079555
"81","IRN","Persian","Other","0","0",26.8029846650667,4.90654686124719
"82","IRQ","Arabic","Arabic","0","1",26.3567733958458,4.23377826925857
